FIPS,County,Year,Population
19103,Johnson County,April 01 2020,152854
19167,Sioux County,April 01 2020,35872
19077,Guthrie County,April 01 2020,10623
19013,Black Hawk County,April 01 2020,131144
19141,O'Brien County,April 01 2020,14182
19085,Harrison County,April 01 2020,14582
19095,Iowa County,April 01 2020,16662
19159,Ringgold County,April 01 2020,4663
19069,Franklin County,April 01 2020,10019
19149,Plymouth County,April 01 2020,25698
19005,Allamakee County,April 01 2020,14061
19031,Cedar County,April 01 2020,18505
19119,Lyon County,April 01 2020,11934
19153,Polk County,April 01 2020,492401
19183,Washington County,April 01 2020,22565
19147,Palo Alto County,April 01 2020,8996
19089,Howard County,April 01 2020,9469
19039,Clarke County,April 01 2020,9748
19053,Decatur County,April 01 2020,7645
19197,Wright County,April 01 2020,12943
19133,Monona County,April 01 2020,8751
19019,Buchanan County,April 01 2020,20565
19025,Calhoun County,April 01 2020,9927
19083,Hardin County,April 01 2020,16878
19169,Story County,April 01 2020,98537
19135,Monroe County,April 01 2020,7577
19105,Jones County,April 01 2020,20646
19033,Cerro Gordo County,April 01 2020,43127
19191,Winneshiek County,April 01 2020,20070
19117,Lucas County,April 01 2020,8634
19161,Sac County,April 01 2020,9814
19127,Marshall County,April 01 2020,40105
19041,Clay County,April 01 2020,16384
19007,Appanoose County,April 01 2020,12317
19063,Emmet County,April 01 2020,9388
19181,Warren County,April 01 2020,52403
19097,Jackson County,April 01 2020,19485
19061,Dubuque County,April 01 2020,99266
19081,Hancock County,April 01 2020,10795
19125,Marion County,April 01 2020,33414
19017,Bremer County,April 01 2020,24988
19179,Wapello County,April 01 2020,35437
19189,Winnebago County,April 01 2020,10679
19071,Fremont County,April 01 2020,6605
19051,Davis County,April 01 2020,9110
19145,Page County,April 01 2020,15211
19001,Adair County,April 01 2020,7496
19023,Butler County,April 01 2020,14334
19043,Clayton County,April 01 2020,17043
19107,Keokuk County,April 01 2020,10033
19163,Scott County,April 01 2020,174669
19065,Fayette County,April 01 2020,19509
19035,Cherokee County,April 01 2020,11658
19137,Montgomery County,April 01 2020,10330
19193,Woodbury County,April 01 2020,105941
19115,Louisa County,April 01 2020,10837
19171,Tama County,April 01 2020,17135
19129,Mills County,April 01 2020,14484
19073,Greene County,April 01 2020,8771
19009,Audubon County,April 01 2020,5674
19093,Ida County,April 01 2020,7005
19059,Dickinson County,April 01 2020,17703
19029,Cass County,April 01 2020,13127
19079,Hamilton County,April 01 2020,15039
19123,Mahaska County,April 01 2020,22190
19049,Dallas County,April 01 2020,99678
19157,Poweshiek County,April 01 2020,18662
19015,Boone County,April 01 2020,26715
19177,Van Buren County,April 01 2020,7203
19099,Jasper County,April 01 2020,37813
19187,Webster County,April 01 2020,36999
19113,Linn County,April 01 2020,230299
19143,Osceola County,April 01 2020,6192
19045,Clinton County,April 01 2020,46460
19011,Benton County,April 01 2020,25575
19109,Kossuth County,April 01 2020,14828
19075,Grundy County,April 01 2020,12329
19195,Worth County,April 01 2020,7443
19055,Delaware County,April 01 2020,17488
19173,Taylor County,April 01 2020,5896
19139,Muscatine County,April 01 2020,43235
19037,Chickasaw County,April 01 2020,12012
19003,Adams County,April 01 2020,3704
19067,Floyd County,April 01 2020,15627
19027,Carroll County,April 01 2020,20760
19185,Wayne County,April 01 2020,6497
19091,Humboldt County,April 01 2020,9597
19121,Madison County,April 01 2020,16548
19151,Pocahontas County,April 01 2020,7078
19111,Lee County,April 01 2020,33555
19175,Union County,April 01 2020,12138
19101,Jefferson County,April 01 2020,15663
19087,Henry County,April 01 2020,20482
19057,Des Moines County,April 01 2020,38910
19165,Shelby County,April 01 2020,11746
19047,Crawford County,April 01 2020,16525
19155,Pottawattamie County,April 01 2020,93667
19021,Buena Vista County,April 01 2020,20823
19131,Mitchell County,April 01 2020,10565
